"Netzarbeiter Extensions","Netzarbeiter Extensions"
"Groups Catalog 2","Groups Catalog 2"
"General","Generale"
"Enable Module","Attiva Modulo"
"Product Mode","Modalità Prodotto"
"Hide Products from","Nascondi Prodotti Per"
"Hide products from these selected groups by default and show them to all others.","Nascondi prodotti da questi gruppi selezionati e mostrali agli altri."
"Show Products to","Mostra Prodotti a"
"Show products to these selected groups by default and hide them from all others.","Mostra prodotti a questi gruppi selezionati e nascondili per gli altri."
"Category Mode","Modalità categoria"
"Hide Categories from","Nascondi categoria da"
"Hide categories from these selected groups by default and show them to all others.","Nascondi categorie da questi gruppi selezionati e mostrali agli altri."
"Show Categories to","Mostra categorie"
"Show categories to these selected groups by default and hide them from all others.","Mostra categorie a questi gruppi selezionati e nascondili per gli altri."
"Show to Groups","Mostra ai gruppi"
"Hide from Groups","Nascondi dai gruppi"
"[ USE DEFAULT ]","[ STANDARD ]"
"[ NONE ]","[ NESSUNO ]"
"GroupsCatalog Categories","GroupsCatalog Categorie"
"Reindex Customergroup Category Visibility","Reindirizza Gruppo clienti alla categoria visibile"
"GroupsCatalog Products","GroupsCatalog Prodotti"
"Reindex Customergroup Product Visibility","Reindirizza Gruppo clienti ai prodotti visibile"
"Show categories by default","Mostra categorie di default"
"Hide categories by default","Nascondi categorie di default"
"Show products by default","Mostra prodotti di default"
"Hide products by default","Nascondi prodotti di default"
"Enable","Attiva"
"Disable","Disattiva"
"Yes","Sì"
"No","No"
"Show 404 Page","Mostra Errore 404"
"Redirect","Reindirizza"
"How to handle guests accessing a hidden entity","Come gestire l'accesso degli ospiti alle categorie nascoste"
"Redirect route for guests","Reindirizza per ospiti"
"How to handle logged in customers accessing a hidden entity","Come gestire l'accesso dei clienti loggati alle entità nascoste"
"Redirect route for logged in customers","Reindirizza per clienti loggati"
"Display a message when a hidden entity is accessed?","Mostra un messaggio quando all'accesso ad un'entità nascosta?"
"Message for guests","Messaggio per gli ospiti"
"Message for logged in customers","Messaggio per clienti loggati"
"Auto refresh CATEGORY cache","Aggiorna automaticamente la cache delle categorie"
"Automatically refresh the CATEGORY BLOCK HTML cache to update the category navigation when the visibility setting for a category is changed.","Aggiorna automaticamente la cache dei blocchi html categorie per aggiornare la navigazione tra le categorie quando l'impostazione sulla visibilità viene modificata."
"Format: [route]/[controller]/[action]","Format: [route]/[controller]/[action]"
